ISIN CODE;DATE;ABNORMAL_RETURN;ABS_AR;PREDICTED_RETURN;RETURN_STOCK;RETURN_MARKET;t;Surpise_Category;# Estimates;Mean;Standard Deviation;Variationskoeffizient
CH0011108872;43868;-0.047351001;0.047351001;0.000378376;-0.046972624;-0.001378101;0;Positive;5;8.336907249;0.968905674;0.116218838
CH0011339204;44266;0.005070225;0.005070225;0.002876837;0.007947062;-0.000504509;0;Negativ;5;0.210708012;0.020240739;0.096060604
CH0011339204;44628;0.082365508;0.082365508;-0.015568027;0.066797481;-0.013097477;0;Positive;5;0.359480638;0.041056137;0.114209592
CH0011339204;44992;-0.054402263;0.054402263;-0.009913813;-0.064316076;-0.007529537;0;Negativ;5;0.352882711;0.068746149;0.194813027
CH0011432447;43879;-0.055399256;0.055399256;-0.004024164;-0.05942342;-0.002477395;0;Positive;9;-2.797617097;0.696592174;-0.248994823
CH0011432447;44243;-0.035321256;0.035321256;-0.001410753;-0.036732009;-0.001637796;0;Negativ;7;-1.014016344;1.805459048;-1.780502907
CH0011432447;44971;0.031108612;0.031108612;0.00380253;0.034911143;0.002317208;0;Positive;6;-1.736744825;0.391022989;-0.225147059
CH0011432447;45335;0.088148728;0.088148728;-0.003873331;0.084275397;-0.003705364;0;Negativ;7;1.739330787;2.104111051;1.209724491
CH0012005267;43859;0.004094622;0.004094622;0.008148372;0.012242994;0.007242725;0;Neutral;26;5.137296194;0.07496874;0.014593034
CH0012005267;44222;-0.026370814;0.026370814;0.00525094;-0.021119874;0.005695497;0;Positive;27;5.641193225;0.058592452;0.010386535
CH0012005267;44594;-0.031713105;0.031713105;0.000649906;-0.031063199;0.001519714;0;Positive;27;6.150425693;0.120222598;0.019547037
CH0012005267;44958;-0.025053255;0.025053255;-0.002486475;-0.02753973;-0.004823815;0;Neutral;22;5.866109181;0.077208066;0.013161717
CH0012005267;45322;-0.028468432;0.028468432;-0.00659203;-0.035060462;-0.008303501;0;Positive;24;6.302203315;0.634440001;0.100669555
CH0012032048;43860;0.01505629;0.01505629;-0.010306415;0.004749875;-0.010499953;0;Neutral;24;21.11084634;0.465515721;0.022051021
CH0012032048;44231;0.015780242;0.015780242;0.006279476;0.022059718;0.006999265;0;Neutral;27;20.62199312;0.5171179;0.025076039
CH0012032048;44595;-0.012772354;0.012772354;-0.011748752;-0.024521107;-0.012165944;0;Neutral;25;21.63371083;0.50547575;0.023365189
CH0012032048;44959;-0.022157178;0.022157178;0.002093243;-0.020063936;0.003260191;0;Neutral;20;21.83381959;0.385201914;0.017642443
CH0012032048;45323;-0.049918702;0.049918702;-0.006692333;-0.056611036;-0.008436727;0;Positive;19;19.76012285;0.64157397;0.032468116
CH0012100191;43907;0.069667852;0.069667852;0.024842648;0.0945105;0.026180799;0;Neutral;6;6.461712362;0.57252985;0.088603426
CH0012100191;44271;0.032190151;0.032190151;0.007382409;0.03957256;0.007233418;0;Positive;7;8.192529694;0.669764148;0.081753033
CH0012100191;44635;-0.172746851;0.172746851;-0.001073061;-0.173819912;-0.000598086;0;Negativ;7;12.31045596;1.777247587;0.144368949
CH0012100191;44999;0.022869637;0.022869637;0.014671119;0.037540755;0.008647286;0;Negativ;5;12.07037653;1.428759947;0.118369128
CH0012100191;45363;0.003876434;0.003876434;0.008022029;0.011898464;0.006375305;0;Neutral;6;10.45806649;0.987943888;0.094467165
CH0012138605;43887;0.01787712;0.01787712;0.002704275;0.020581395;0.002558973;0;Positive;19;4.24784;0.15371;0.03618545
CH0012138605;44252;-0.009365909;0.009365909;-0.008208048;-0.017573957;-0.005663185;0;Neutral;17;2.43406;0.34105;0.140115691
CH0012138605;44616;-0.025414636;0.025414636;-0.030460805;-0.055875441;-0.024314251;0;Positive;19;3.75691;0.25485;0.067835003
CH0012138605;44985;-0.013604678;0.013604678;-0.015843857;-0.029448536;-0.010267483;0;Neutral;12;3.35575;0.17844;0.053174402
CH0012138605;45351;-0.053907393;0.053907393;0.000598068;-0.053309325;0.00031412;0;Neutral;13;2.92715;0.46217;0.157890781
CH0012142631;43874;0.041499594;0.041499594;-0.001971483;0.039528111;-0.001245718;0;Negativ;13;1.002129433;0.159488938;0.159150039
CH0012142631;44238;-0.029562265;0.029562265;0.003210279;-0.026351986;0.003048977;0;Positive;16;0.507678607;0.411689401;0.810925249
CH0012142631;44606;-0.154688984;0.154688984;-0.019664403;-0.174353387;-0.017303757;0;Positive;17;0.973098551;0.179431706;0.184392121
CH0012142631;44987;-0.026149854;0.026149854;0.011779914;-0.01436994;0.008974338;0;Positive;16;1.19075567;0.437591588;0.367490661
CH0012142631;45351;-0.013532462;0.013532462;-0.000986849;-0.014519311;0.00031412;0;Positive;16;0.740936632;0.246932763;0.333271095
CH0012214059;43888;0.028071847;0.028071847;-0.034148255;-0.006076408;-0.028920081;0;Neutral;17;3.768832046;0.192372158;0.051042911
CH0012214059;44253;-0.006887254;0.006887254;-0.01831093;-0.025198184;-0.013252971;0;Neutral;18;3.193726875;0.201619899;0.063129975
CH0012214059;44617;-0.00456837;0.00456837;0.026666323;0.022097953;0.028746262;0;Positive;20;4.222673691;0.21549683;0.051033266
CH0012214059;44981;-0.00524;0.00524;-0.005286413;-0.010526413;-0.00539931;0;Negativ;19;4.874740495;0.337015759;0.069135118
CH0012214059;45350;0.002837735;0.002837735;-0.003403026;-0.000565291;-0.003324659;0;Neutral;20;5.488518035;0.268109982;0.048849249
CH0012221716;43866;0.02768418;0.02768418;0.019247927;0.046932107;0.015726474;0;Positive;17;0.968119047;0.106796378;0.11031327
CH0012221716;44231;-0.060518473;0.060518473;0.0093483;-0.051170173;0.006999265;0;Positive;17;0.74315441;0.115812099;0.155838541
CH0012221716;44595;-0.008619205;0.008619205;-0.016239595;-0.0248588;-0.012165944;0;Neutral;24;1.475404276;0.285981403;0.19383257
CH0012221716;44959;-0.032613228;0.032613228;0.00437979;-0.028233438;0.003260191;0;Positive;19;1.191253279;0.184072597;0.154520118
CH0012221716;45323;0.026008013;0.026008013;-0.009518925;0.016489088;-0.008436727;0;Neutral;20;1.939110273;0.082884271;0.042743454
CH0012255151;43867;0.001610443;0.001610443;0.000374079;0.001984521;0.001064729;0;Neutral;23;15.93732615;1.040131367;0.065263857
CH0012255151;44235;0.003174319;0.003174319;0.003499788;0.006674107;0.002874208;0;Negativ;22;0.154157387;0.820877975;5.324934413
CH0012255151;44609;0.003520977;0.003520977;-0.011508517;-0.00798754;-0.008966608;0;Positive;24;13.47804439;0.907534305;0.067334272
CH0012255151;44963;0.003205077;0.003205077;-0.007211863;-0.004006786;-0.006387817;0;Neutral;21;17.30431033;0.781109498;0.045139591
CH0012255151;45313;-0.006362161;0.006362161;0.009184364;0.002822203;0.011057605;0;Negativ;21;18.87174382;1.109579877;0.058795832
CH0012410517;43902;-0.046722491;0.046722491;-0.071759112;-0.118481604;-0.095497604;0;Positive;11;14.32660174;1.622472975;0.113248976
CH0012410517;44264;-0.047726883;0.047726883;0.004755067;-0.042971816;0.004378874;0;Neutral;11;10.76362504;0.716577509;0.066573994
CH0012410517;44630;0.015843027;0.015843027;-0.006344991;0.009498036;-0.009431449;0;Positive;10;13.13732528;1.325651365;0.10090725
CH0012410517;44994;-0.060185973;0.060185973;-0.003588508;-0.063774482;-0.005044872;0;Neutral;6;13.46349703;0.721579164;0.053595226
CH0012410517;45377;-0.003822967;0.003822967;0.001674739;-0.002148229;0.002583345;0;Negativ;6;6.686254738;1.164927976;0.17422728
CH0012453913;43873;0.006164979;0.006164979;-0.004005484;0.002159495;-0.001803539;0;Positive;18;3.368919924;0.102366407;0.030385527
CH0012453913;44244;0.000825878;0.000825878;-0.014187054;-0.013361176;-0.009628859;0;Neutral;19;3.304622059;0.115140301;0.034842199
CH0012453913;44606;-0.004736043;0.004736043;-0.012671634;-0.017407677;-0.017303757;0;Neutral;15;3.802638425;0.059322667;0.015600396
CH0012453913;44977;-0.009185334;0.009185334;-0.000163259;-0.009348593;0.000624766;0;Neutral;18;2.792994485;0.255536305;0.091491876
CH0012453913;45341;0.074069059;0.074069059;0.010354567;0.084423626;0.006787356;0;Neutral;15;3.076123181;0.06531043;0.021231409
CH0012829898;43892;0.041599628;0.041599628;0.008556656;0.050156285;0.012446707;0;Negativ;6;35.05574733;1.760986888;0.050233899
CH0012829898;44257;-0.02678783;0.02678783;0.00548137;-0.02130646;0.008703498;0;Neutral;7;37.85340699;1.585375594;0.041881979
CH0012829898;44624;0.017648568;0.017648568;-0.018594194;-0.000945627;-0.032511354;0;Neutral;7;42.67110734;0.681087044;0.015961316
CH0012829898;44963;0.007435316;0.007435316;-0.005136464;0.002298852;-0.006387817;0;Negativ;7;38.62888697;1.28413763;0.033242936
CH0012829898;45316;-0.055807457;0.055807457;0.000925477;-0.05488198;0.001022953;0;Negativ;6;39.26813038;3.709120801;0.094456262
CH0012949464;43942;0.021494647;0.021494647;0.001627771;0.023122417;-0.022920784;0;Neutral;5;-1.7548572;0.370090532;-0.210894956
CH0012949464;44334;-0.084285037;0.084285037;-0.000272351;-0.084557388;0.002890264;0;Negativ;5;-1.560048066;0.6559085;-0.420441212
CH0012949464;44637;-0.002254926;0.002254926;0.002254926;0;0.011759362;0;Neutral;6;-2.143868886;0.45310736;-0.211350313
