Name;ISIN CODE;INDUSTRY GROUP;YR_2015;YR_2016;YR_2017;YR_2018;YR_2019;YR_2020;YR_2021;YR_2022;YR_2023
DKSH HOLDING AG ;CH0126673539;8580;08.02.2016;06.02.2017;05.02.2018;07.02.2019;10.02.2020;09.02.2021;09.02.2022;09.02.2023;16.02.2024
SWISS RE ;CH0126881561;4370;23.02.2016;23.02.2017;23.02.2018;21.02.2019;20.02.2020;19.02.2021;25.02.2022;17.02.2023;16.02.2024
SIKA AG ;CH0418792922;2893;26.02.2016;24.02.2017;18.02.2018;19.02.2019;21.02.2020;19.02.2021;18.02.2022;17.02.2023;16.02.2024
TEMENOS AG ;CH0012453913;8592;15.02.2016;14.02.2017;13.02.2018;12.02.2019;12.02.2020;17.02.2021;14.02.2022;20.02.2023;19.02.2024
OC OERLIKON CORP ;CH0000816824;3110;01.03.2016;28.02.2017;06.03.2018;05.03.2019;03.03.2020;02.03.2021;01.03.2022;21.02.2023;20.02.2024
CPH GROUP AG ;CH0001624714;6120;22.03.2016;21.03.2017;28.02.2018;26.02.2019;26.02.2020;02.05.2021;16.02.2022;21.02.2023;20.02.2024
SIEGFRIED HOLDING AG ;CH0014284498;2580;24.03.2016;14.03.2017;14.03.2018;07.03.2019;04.03.2020;24.02.2021;23.02.2022;22.02.2023;20.02.2024
ALSO HOLDING AG ;CH0024590272;8591;23.02.2016;23.02.2017;23.02.2018;25.02.2019;26.02.2020;23.02.2021;22.02.2022;21.02.2023;20.02.2024
EFG INTERNATIONAL ;CH0022268228;4310;23.02.2016;17.03.2017;28.02.2018;13.03.2019;26.02.2020;05.03.2021;23.02.2022;22.02.2023;21.02.2024
ZUG ESTATES ;CH0148052126;4392;11.03.2016;10.03.2017;09.03.2018;08.03.2019;06.03.2020;05.03.2021;04.03.2022;24.02.2023;21.02.2024
NOVAVEST REAL ;CH0212186248;4380;06.04.2016;22.02.2017;14.03.2018;15.03.2019;18.03.2020;23.02.2021;15.04.2022;22.02.2023;21.02.2024
FEINTOOL INT HOLDING ;CH0009320091;4970;22.03.2016;21.03.2017;09.03.2018;05.03.2019;03.03.2020;02.03.2021;01.03.2022;01.03.2023;22.02.2024
ZURICH INSURANCE ;CH0011075394;4370;11.02.2016;09.02.2017;08.02.2018;07.02.2019;13.02.2020;11.02.2021;10.02.2022;09.02.2023;22.02.2024
KUDELSKI SA ;CH0012268360;4090;02.03.2016;16.02.2017;14.02.2018;27.02.2019;27.02.2020;25.02.2021;23.02.2022;23.02.2023;22.02.2024
SULZER AG ;CH0038388911;4910;25.02.2016;01.03.2017;28.02.2018;14.02.2019;19.02.2020;24.02.2021;18.02.2022;20.02.2023;22.02.2024
NESTLE SA ;CH0038863350;4610;18.02.2016;16.02.2017;15.02.2018;14.02.2019;13.02.2020;18.02.2021;17.02.2022;16.02.2023;22.02.2024
CEMBRA MONEY BANK AG ;CH0225173167;4320;23.02.2016;23.02.2017;22.02.2018;22.02.2019;21.02.2020;19.02.2021;16.02.2022;23.02.2023;22.02.2024
MEDMIX AG ;CH1129677105;3440;NA;NA;NA;20.08.2021;20.08.2021;20.08.2021;21.02.2022;22.02.2023;22.02.2024
CALIDA HOLDING AG ;CH0126639464;1610;06.03.2016;06.03.2017;05.03.2018;01.03.2019;06.03.2020;05.03.2021;04.03.2022;03.03.2023;23.02.2024
INA INVEST AG ;CH0524026959;4380;NA;NA;NA;NA;NA;26.02.2021;15.03.2022;28.02.2023;26.02.2024
LIECHTENSTEIN LANDBK ;LI0355147575;4310;23.03.2016;31.03.2017;08.03.2018;15.03.2019;12.03.2020;11.03.2021;25.03.2022;27.02.2023;26.02.2024
PSP SWISS PROPERTY ;CH0018294154;4380;01.03.2016;06.03.2017;27.02.2018;26.02.2019;25.02.2020;23.02.2021;22.02.2022;21.02.2023;27.02.2024
APG SGA SA ;CH0019107025;8510;26.02.2016;28.02.2017;07.03.2018;27.02.2019;27.02.2020;15.03.2021;26.04.2022;15.03.2023;27.02.2024
BELLEVUE GROUP AG ;CH0028422100;4395;07.03.2016;25.01.2017;27.02.2018;30.01.2019;28.01.2020;02.03.2021;01.03.2022;28.02.2023;27.02.2024
ARBONIA AG ;CH0110240600;3110;01.03.2016;08.03.2017;23.01.2018;23.01.2019;25.02.2020;02.03.2021;01.03.2022;28.02.2023;27.02.2024
IVF HARTMANN HLDG ;CH0187624256;3440;30.03.2016;17.04.2017;12.03.2018;25.02.2019;11.03.2020;07.04.2021;09.03.2022;09.03.2023;27.02.2024
ALCON AG ;CH0432492467;3440;22.03.2019;22.03.2019;22.03.2019;22.03.2019;25.02.2020;23.02.2021;15.02.2022;27.02.2023;27.02.2024
SIG GROUP AG ;CH0435377954;4910;28.09.2018;28.09.2018;28.09.2018;26.02.2019;25.02.2020;23.02.2021;01.03.2022;28.02.2023;27.02.2024
STRAUMANN HOLDING AG ;CH1175448666;3440;26.02.2016;16.02.2017;15.02.2018;19.02.2019;18.02.2020;16.02.2021;15.02.2022;21.02.2023;27.02.2024
INTERSHOP HOLDING AG ;CH1338987303;4380;09.03.2016;07.03.2017;07.03.2018;01.03.2019;05.03.2020;02.03.2021;01.03.2022;28.02.2023;27.02.2024
ALLREAL HOLDING AG ;CH0008837566;2810;01.03.2016;28.02.2017;27.02.2018;27.02.2019;26.02.2020;24.02.2021;08.03.2022;01.03.2023;28.02.2024
HOLCI ;CH0012214059;2840;17.03.2016;02.03.2017;02.03.2018;07.03.2019;27.02.2020;26.02.2021;25.02.2022;24.02.2023;28.02.2024
IMPLENIA AG ;CH0023868554;2893;23.02.2016;23.02.2017;01.03.2018;26.02.2019;25.02.2020;03.03.2021;01.03.2022;01.03.2023;28.02.2024
