ISIN;Year;Reporting date;Actual;Estimates;Mean;Surprise; Surpise (%) ;Surpise_Category;Standard Deviation
CH1175448666;FY Dec-22;21.02.2023;3.213829271;14;3.294249495;-0.080420225;-0.02;Neutral;0.075344077
CH1175448666;FY Dec-23;27.02.2024;2.937141983;16;3.120979402;-0.183837419;-0.06;Negativ;0.134874411
CH1176493729;FY Dec-19;15.04.2020;0.832190228;3;0.830774867;0.001415362; -   ;Positive;0.014472874
CH1176493729;FY Dec-20;12.03.2021;1.187626976;4;1.089722243;0.097904733;0.09;Positive;0.018559332
CH1176493729;FY Dec-21;18.03.2022;1.721846278;7;1.691016929;0.030829349;0.02;Neutral;0.044450877
CH1176493729;FY Dec-22;07.03.2023;1.457929173;5;1.554556887;-0.096627715;-0.06;Negativ;0.054581889
CH1176493729;FY Dec-23;07.03.2024;1.596272817;5;1.500070775;0.096202042;0.06;Positive;0.053826319
CH1248667003;FY Dec-19;10.03.2020;46.53667352;5;55.5115578;-8.974884285;-0.16;Negativ;4.898950633
CH1248667003;FY Dec-20;05.03.2021;76.92970795;3;60.88575078;16.04395717;0.26;Positive;5.653721629
CH1248667003;FY Dec-21;04.03.2022;62.78673079;5;61.95539191;0.831338883;0.01;Neutral;8.540421391
CH1248667003;FY Dec-22;06.03.2023;21.60289212;5;24.66858727;-3.065695154;-0.12;Negativ;3.059490973
CH1248667003;FY Dec-23;07.03.2024;20.53871024;5;21.10975024;-0.571039996;-0.03;Neutral;3.603085718
CH1252930610;FY Dec-19;19.02.2020;5.059461185;1;4.982010028;0.077451157;0.02;Neutral;0
CH1252930610;FY Dec-20;02.02.2021;-;1;4.931770002;;;;0
CH1252930610;FY Dec-21;03.02.2022;5.461370755;1;6.124100661;-0.662729906;-0.11;Negativ;0
CH1252930610;FY Dec-22;07.02.2023;5.593244173;1;5.635736956;-0.042492782;-0.01;Neutral;0
CH1252930610;FY Dec-23;01.02.2024;5.704014865;1;5.917915422;-0.213900557;-0.04;Neutral;0
CH1256740924;FY Dec-19;28.01.2020;3.612684639;21;3.601148907;0.011535732; -   ;Positive;0.200598284
CH1256740924;FY Dec-20;28.01.2021;3.211275234;22;3.028970237;0.182304997;0.06;Positive;0.119369281
CH1256740924;FY Dec-21;27.01.2022;3.808068432;22;3.829788384;-0.021719952;-0.01;Neutral;0.096319102
CH1256740924;FY Dec-22;26.01.2023;3.926405456;15;3.819742507;0.10666295;0.03;Neutral;0.121987169
CH1256740924;FY Dec-23;26.01.2024;3.703352935;17;3.819540312;-0.116187377;-0.03;Neutral;0.123860129
CH1261338102;FY Dec-19;19.02.2020;14.73;3;19.164;-4.434;-0.23;Negativ;5.26676
