ISIN,CompanyName,Year,Reportdate,RBICS_PrimaryCode,RBICS_Top10_Flag
CH0006372897,INTERROLL HOLDING AG ,2020,2021-03-19,4992,False
CH0006372897,INTERROLL HOLDING AG ,2021,2022-02-22,4992,False
CH0006372897,INTERROLL HOLDING AG ,2022,2023-01-30,4992,False
CH0006372897,INTERROLL HOLDING AG ,2023,2024-01-29,4992,False
CH0008038389,SWISS PRIME SITE ,2019,2020-02-27,4392,True
CH0008038389,SWISS PRIME SITE ,2020,2021-02-25,4392,True
CH0008038389,SWISS PRIME SITE ,2021,2022-02-17,4392,True
CH0008038389,SWISS PRIME SITE ,2022,2023-02-09,4392,True
CH0008038389,SWISS PRIME SITE ,2023,2024-02-08,4392,True
CH0008702190,CICOR TECHNOLOGIES ,2019,2020-03-12,4060,False
CH0008702190,CICOR TECHNOLOGIES ,2020,2021-03-11,4060,False
CH0008702190,CICOR TECHNOLOGIES ,2021,2022-03-10,4060,False
CH0008702190,CICOR TECHNOLOGIES ,2022,2023-03-02,4060,False
CH0008702190,CICOR TECHNOLOGIES ,2023,2024-03-06,4060,False
CH0008742519,SWISSCOM ,2019,2020-02-06,8210,False
CH0008742519,SWISSCOM ,2020,2021-02-04,8210,False
CH0008742519,SWISSCOM ,2021,2022-02-03,8210,False
CH0008742519,SWISSCOM ,2022,2023-02-09,8210,False
CH0008742519,SWISSCOM ,2023,2024-02-09,8210,False
CH0008837566,ALLREAL HOLDING AG ,2019,2020-02-26,2810,False
CH0008837566,ALLREAL HOLDING AG ,2020,2021-02-24,2810,False
CH0008837566,ALLREAL HOLDING AG ,2021,2022-03-08,2810,False
CH0008837566,ALLREAL HOLDING AG ,2022,2023-03-01,2810,False
CH0008837566,ALLREAL HOLDING AG ,2023,2024-02-28,2810,False
CH0008967926,ADVAL TECH HOLDING A ,2019,2020-03-27,4970,True
CH0008967926,ADVAL TECH HOLDING A ,2020,2021-04-27,4970,True
CH0008967926,ADVAL TECH HOLDING A ,2021,2022-04-27,4970,True
CH0008967926,ADVAL TECH HOLDING A ,2022,2023-04-03,4970,True
CH0008967926,ADVAL TECH HOLDING A ,2023,2024-04-02,4970,True
CH0009320091,FEINTOOL INT HOLDING ,2019,2020-03-03,4970,True
CH0009320091,FEINTOOL INT HOLDING ,2020,2021-03-02,4970,True
CH0009320091,FEINTOOL INT HOLDING ,2021,2022-03-01,4970,True
CH0009320091,FEINTOOL INT HOLDING ,2022,2023-03-01,4970,True
CH0009320091,FEINTOOL INT HOLDING ,2023,2024-02-22,4970,True
CH0010570759,CHOCO LINDT & SPRUEN ,2019,2020-03-03,4640,False
CH0010570759,CHOCO LINDT & SPRUEN ,2020,2021-03-02,4640,False
CH0010570759,CHOCO LINDT & SPRUEN ,2021,2022-03-08,4640,False
CH0010570759,CHOCO LINDT & SPRUEN ,2022,2023-03-07,4640,False
CH0010570759,CHOCO LINDT & SPRUEN ,2023,2024-03-05,4640,False
CH0010570767,CHOCO LINDT & SPRUEN ,2019,2020-03-03,4640,False
CH0010570767,CHOCO LINDT & SPRUEN ,2020,2021-03-02,4640,False
CH0010570767,CHOCO LINDT & SPRUEN ,2021,2022-03-08,4640,False
CH0010570767,CHOCO LINDT & SPRUEN ,2022,2023-03-07,4640,False
CH0010570767,CHOCO LINDT & SPRUEN ,2023,2024-03-05,4640,False
CH0010645932,GIVAUDAN SA ,2019,2020-01-24,2580,False
CH0010645932,GIVAUDAN SA ,2020,2021-01-29,2580,False
CH0010645932,GIVAUDAN SA ,2021,2022-01-28,2580,False
CH0010645932,GIVAUDAN SA ,2022,2023-01-25,2580,False
CH0010645932,GIVAUDAN SA ,2023,2024-01-25,2580,False
CH0010675863,SWISSQUOTE GROUP ,2019,2020-03-17,4350,False
CH0010675863,SWISSQUOTE GROUP ,2020,2021-03-18,4350,False
CH0010675863,SWISSQUOTE GROUP ,2021,2022-03-17,4350,False
CH0010675863,SWISSQUOTE GROUP ,2022,2023-03-16,4350,False
CH0010675863,SWISSQUOTE GROUP ,2023,2024-03-14,4350,False
CH0010702154,KOMAX HOLDING AG ,2019,2020-01-28,4970,True
CH0010702154,KOMAX HOLDING AG ,2020,2021-01-26,4970,True
CH0010702154,KOMAX HOLDING AG ,2021,2022-01-25,4970,True
CH0010702154,KOMAX HOLDING AG ,2022,2023-01-24,4970,True
CH0010702154,KOMAX HOLDING AG ,2023,2024-01-23,4970,True
CH0011029946,INFICON HOLDING AG ,2019,2020-03-05,4960,False
CH0011029946,INFICON HOLDING AG ,2020,2021-03-04,4960,False
CH0011029946,INFICON HOLDING AG ,2021,2022-03-03,4960,False
CH0011029946,INFICON HOLDING AG ,2022,2023-01-13,4960,False
CH0011029946,INFICON HOLDING AG ,2023,2024-03-05,4960,False
CH0011075394,ZURICH INSURANCE ,2019,2020-02-13,4370,True
CH0011075394,ZURICH INSURANCE ,2020,2021-02-11,4370,True
CH0011075394,ZURICH INSURANCE ,2021,2022-02-10,4370,True
CH0011075394,ZURICH INSURANCE ,2022,2023-02-09,4370,True
CH0011075394,ZURICH INSURANCE ,2023,2024-02-22,4370,True
CH0011108872,MOBIMO HOLDING AG ,2019,2020-02-07,4392,True
CH0011108872,MOBIMO HOLDING AG ,2020,2021-02-05,4392,True
CH0011108872,MOBIMO HOLDING AG ,2021,2022-02-11,4392,True
CH0011108872,MOBIMO HOLDING AG ,2022,2023-02-10,4392,True
CH0011108872,MOBIMO HOLDING AG ,2023,2024-02-09,4392,True
CH0011178255,TX GROUP ,2019,2020-03-19,6430,False
CH0011178255,TX GROUP ,2020,2021-03-11,6430,False
CH0011178255,TX GROUP ,2021,2022-03-10,6430,False
CH0011178255,TX GROUP ,2022,2023-03-09,6430,False
CH0011178255,TX GROUP ,2023,2024-03-14,6430,False
CH0011339204,ASCOM HOLDING AG ,2019,2020-03-06,4010,False
CH0011339204,ASCOM HOLDING AG ,2020,2021-03-11,4010,False
CH0011339204,ASCOM HOLDING AG ,2021,2022-03-08,4010,False
CH0011339204,ASCOM HOLDING AG ,2022,2023-03-07,4010,False
CH0011339204,ASCOM HOLDING AG ,2023,2024-03-05,4010,False
CH0011432447,BASILEA PHARMACEUTIC ,2019,2020-02-18,3430,True
CH0011432447,BASILEA PHARMACEUTIC ,2020,2021-02-16,3430,True
CH0011432447,BASILEA PHARMACEUTIC ,2021,2022-02-15,3430,True
CH0011432447,BASILEA PHARMACEUTIC ,2022,2023-02-14,3430,True
CH0011432447,BASILEA PHARMACEUTIC ,2023,2024-02-13,3430,True
CH0011484067,ST GALLER KANT ,2019,2020-02-12,4310,True
CH0011484067,ST GALLER KANT ,2020,2021-02-18,4310,True
CH0011484067,ST GALLER KANT ,2021,2022-02-16,4310,True
CH0011484067,ST GALLER KANT ,2022,2023-02-15,4310,True
CH0011484067,ST GALLER KANT ,2023,2024-02-14,4310,True
CH0012005267,NOVARTIS ,2019,2020-01-29,3410,False
CH0012005267,NOVARTIS ,2020,2021-01-26,3410,False
CH0012005267,NOVARTIS ,2021,2022-02-02,3410,False
CH0012005267,NOVARTIS ,2022,2023-02-01,3410,False
CH0012005267,NOVARTIS ,2023,2024-01-31,3410,False
CH0012032048,ROCHE HOLDING AG ,2019,2020-01-30,3430,True
CH0012032048,ROCHE HOLDING AG ,2020,2021-02-04,3430,True
CH0012032048,ROCHE HOLDING AG ,2021,2022-02-03,3430,True
CH0012032048,ROCHE HOLDING AG ,2022,2023-02-02,3430,True
CH0012032048,ROCHE HOLDING AG ,2023,2024-02-01,3430,True
CH0012032113,ROCHE HOLDING AG ,2019,2020-01-30,3430,True
CH0012032113,ROCHE HOLDING AG ,2020,2021-02-04,3430,True
CH0012032113,ROCHE HOLDING AG ,2021,2022-02-03,3430,True
CH0012032113,ROCHE HOLDING AG ,2022,2023-02-02,3430,True
CH0012032113,ROCHE HOLDING AG ,2023,2024-02-01,3430,True
CH0012100191,TECAN GROUP AG ,2019,2020-03-17,8570,False
CH0012100191,TECAN GROUP AG ,2020,2021-03-16,8570,False
CH0012100191,TECAN GROUP AG ,2021,2022-03-15,8570,False
CH0012100191,TECAN GROUP AG ,2022,2023-03-14,8570,False
CH0012100191,TECAN GROUP AG ,2023,2024-03-12,8570,False
CH0012138605,ADECCO GROUP ,2019,2020-02-26,8580,True
CH0012138605,ADECCO GROUP ,2020,2021-02-25,8580,True
CH0012138605,ADECCO GROUP ,2021,2022-02-24,8580,True
CH0012138605,ADECCO GROUP ,2022,2023-02-28,8580,True
CH0012138605,ADECCO GROUP ,2023,2024-02-29,8580,True
CH0012142631,CLARIANT AG ,2019,2020-02-13,2530,False
CH0012142631,CLARIANT AG ,2020,2021-02-11,2530,False
CH0012142631,CLARIANT AG ,2021,2022-02-14,2530,False
CH0012142631,CLARIANT AG ,2022,2023-03-02,2530,False
CH0012142631,CLARIANT AG ,2023,2024-02-29,2530,False
CH0012214059,HOLCI ,2019,2020-02-27,2840,False
CH0012214059,HOLCI ,2020,2021-02-26,2840,False
CH0012214059,HOLCI ,2021,2022-02-25,2840,False
CH0012214059,HOLCI ,2022,2023-02-24,2840,False
CH0012214059,HOLCI ,2023,2024-02-28,2840,False
CH0012221716,ABB LTD ,2019,2020-02-05,4970,True
CH0012221716,ABB LTD ,2020,2021-02-04,4970,True
CH0012221716,ABB LTD ,2021,2022-02-03,4970,True
CH0012221716,ABB LTD ,2022,2023-02-02,4970,True
CH0012221716,ABB LTD ,2023,2024-02-01,4970,True
CH0012255151,THE SWATCH GROUP ,2019,2020-02-06,8592,True
CH0012255151,THE SWATCH GROUP ,2020,2021-02-08,8592,True
CH0012255151,THE SWATCH GROUP ,2021,2022-02-17,8592,True
CH0012255151,THE SWATCH GROUP ,2022,2023-02-06,8592,True
CH0012255151,THE SWATCH GROUP ,2023,2024-01-22,8592,True
CH0012268360,KUDELSKI SA ,2019,2020-02-27,4090,False
CH0012268360,KUDELSKI SA ,2020,2021-02-25,4090,False
CH0012268360,KUDELSKI SA ,2021,2022-02-23,4090,False
CH0012268360,KUDELSKI SA ,2022,2023-02-23,4090,False
CH0012268360,KUDELSKI SA ,2023,2024-02-22,4090,False
CH0012335540,VONTOBEL HOLDING AG ,2019,2020-02-12,4394,False
CH0012335540,VONTOBEL HOLDING AG ,2020,2021-02-11,4394,False
CH0012335540,VONTOBEL HOLDING AG ,2021,2022-02-09,4394,False
CH0012335540,VONTOBEL HOLDING AG ,2022,2023-02-08,4394,False
CH0012335540,VONTOBEL HOLDING AG ,2023,2024-02-08,4394,False
CH0012410517,BALOISE HOLDING AG ,2019,2020-03-12,4370,True
CH0012410517,BALOISE HOLDING AG ,2020,2021-03-09,4370,True
CH0012410517,BALOISE HOLDING AG ,2021,2022-03-10,4370,True
CH0012410517,BALOISE HOLDING AG ,2022,2023-03-09,4370,True
CH0012410517,BALOISE HOLDING AG ,2023,2024-03-26,4370,True
CH0012453913,TEMENOS AG ,2019,2020-02-12,8592,True
CH0012453913,TEMENOS AG ,2020,2021-02-17,8592,True
CH0012453913,TEMENOS AG ,2021,2022-02-14,8592,True
CH0012453913,TEMENOS AG ,2022,2023-02-20,8592,True
CH0012453913,TEMENOS AG ,2023,2024-02-19,8592,True
CH0012829898,EMMI AG ,2019,2020-03-02,4640,False
CH0012829898,EMMI AG ,2020,2021-03-02,4640,False
CH0012829898,EMMI AG ,2021,2022-03-04,4640,False
CH0012829898,EMMI AG ,2022,2023-02-06,4640,False
CH0012829898,EMMI AG ,2023,2024-01-25,4640,False
CH0012949464,GROUPE MINOTERIES SA ,2019,2020-04-21,4660,False
CH0012949464,GROUPE MINOTERIES SA ,2020,2021-05-18,4660,False
CH0012949464,GROUPE MINOTERIES SA ,2021,2022-03-17,4660,False
CH0012949464,GROUPE MINOTERIES SA ,2022,2023-03-17,4660,False
CH0012949464,GROUPE MINOTERIES SA ,2023,2024-03-18,4660,False
CH0013396012,SKAN GROUP AG ,2019,2020-02-13,3440,True
CH0013396012,SKAN GROUP AG ,2020,2021-02-05,3440,True
CH0013396012,SKAN GROUP AG ,2021,2022-04-05,3440,True
CH0013396012,SKAN GROUP AG ,2022,2023-03-28,3440,True
CH0013396012,SKAN GROUP AG ,2023,2024-03-28,3440,True
CH0013841017,LONZA GROUP AG ,2019,2020-01-21,2580,False
CH0013841017,LONZA GROUP AG ,2020,2021-01-27,2580,False
CH0013841017,LONZA GROUP AG ,2021,2022-01-26,2580,False
CH0013841017,LONZA GROUP AG ,2022,2023-01-25,2580,False
CH0013841017,LONZA GROUP AG ,2023,2024-01-26,2580,False
CH0014284498,SIEGFRIED HOLDING AG ,2019,2020-03-04,2580,False
CH0014284498,SIEGFRIED HOLDING AG ,2020,2021-02-24,2580,False
CH0014284498,SIEGFRIED HOLDING AG ,2021,2022-02-23,2580,False
CH0014284498,SIEGFRIED HOLDING AG ,2022,2023-02-22,2580,False
CH0014284498,SIEGFRIED HOLDING AG ,2023,2024-02-20,2580,False
CH0014345117,CIE FINANC TRADITION ,2019,2020-03-13,4394,False
CH0014345117,CIE FINANC TRADITION ,2020,2021-04-28,4394,False
CH0014345117,CIE FINANC TRADITION ,2021,2022-04-29,4394,False
CH0014345117,CIE FINANC TRADITION ,2022,2023-04-27,4394,False
CH0014345117,CIE FINANC TRADITION ,2023,2024-02-08,4394,False
CH0014786500,VALIANT HOLDING ,2019,2020-02-13,4320,False
CH0014786500,VALIANT HOLDING ,2020,2021-02-11,4320,False
CH0014786500,VALIANT HOLDING ,2021,2022-02-17,4320,False
CH0014786500,VALIANT HOLDING ,2022,2023-02-01,4320,False
CH0014786500,VALIANT HOLDING ,2023,2024-01-31,4320,False
CH0014852781,SWISS LIFE HOLDING ,2019,2020-02-28,4370,True
CH0014852781,SWISS LIFE HOLDING ,2020,2021-03-02,4370,True
CH0014852781,SWISS LIFE HOLDING ,2021,2022-03-01,4370,True
CH0014852781,SWISS LIFE HOLDING ,2022,2023-03-01,4370,True
CH0014852781,SWISS LIFE HOLDING ,2023,2024-03-14,4370,True
CH0016440353,EM - HEMIE HOLDING ,2019,2020-02-07,2530,False
CH0016440353,EM - HEMIE HOLDING ,2020,2021-02-12,2530,False
CH0016440353,EM - HEMIE HOLDING ,2021,2022-02-11,2530,False
CH0016440353,EM - HEMIE HOLDING ,2022,2023-02-10,2530,False
CH0016440353,EM - HEMIE HOLDING ,2023,2024-02-09,2530,False
CH0017875789,JUNGFRAUBAHN ,2019,2020-03-26,7970,False
CH0017875789,JUNGFRAUBAHN ,2020,2021-04-09,7970,False
CH0017875789,JUNGFRAUBAHN ,2021,2022-04-11,7970,False
CH0017875789,JUNGFRAUBAHN ,2022,2023-04-05,7970,False
CH0017875789,JUNGFRAUBAHN ,2023,2024-04-11,7970,False
CH0018294154,PSP SWISS PROPERTY ,2019,2020-02-25,4380,True
CH0018294154,PSP SWISS PROPERTY ,2020,2021-02-23,4380,True
CH0018294154,PSP SWISS PROPERTY ,2021,2022-02-22,4380,True
CH0018294154,PSP SWISS PROPERTY ,2022,2023-02-21,4380,True
CH0018294154,PSP SWISS PROPERTY ,2023,2024-02-27,4380,True
CH0019107025,APG SGA SA ,2019,2020-02-27,8510,False
CH0019107025,APG SGA SA ,2020,2021-03-15,8510,False
CH0019107025,APG SGA SA ,2021,2022-04-26,8510,False
CH0019107025,APG SGA SA ,2022,2023-03-15,8510,False
CH0019107025,APG SGA SA ,2023,2024-02-27,8510,False
CH0022268228,EFG INTERNATIONAL ,2019,2020-02-26,4310,True
CH0022268228,EFG INTERNATIONAL ,2020,2021-03-05,4310,True
CH0022268228,EFG INTERNATIONAL ,2021,2022-02-23,4310,True
CH0022268228,EFG INTERNATIONAL ,2022,2023-02-22,4310,True
CH0022268228,EFG INTERNATIONAL ,2023,2024-02-21,4310,True
CH0023405456,AVOLTA AG ,2019,2020-03-12,7091,False
CH0023405456,AVOLTA AG ,2020,2021-03-09,7091,False
CH0023405456,AVOLTA AG ,2021,2022-03-08,7091,False
CH0023405456,AVOLTA AG ,2022,2023-03-07,7091,False
CH0023405456,AVOLTA AG ,2023,2024-03-07,7091,False
CH0023868554,IMPLENIA AG ,2019,2020-02-25,2893,False
CH0023868554,IMPLENIA AG ,2020,2021-03-03,2893,False
CH0023868554,IMPLENIA AG ,2021,2022-03-01,2893,False
CH0023868554,IMPLENIA AG ,2022,2023-03-01,2893,False
CH0023868554,IMPLENIA AG ,2023,2024-02-28,2893,False
CH0024590272,ALSO HOLDING AG ,2019,2020-02-26,8591,False
CH0024590272,ALSO HOLDING AG ,2020,2021-02-23,8591,False
CH0024590272,ALSO HOLDING AG ,2021,2022-02-22,8591,False
CH0024590272,ALSO HOLDING AG ,2022,2023-02-21,8591,False
CH0024590272,ALSO HOLDING AG ,2023,2024-02-20,8591,False
CH0024608827,PARTNERS GR ,2019,2020-03-17,4350,False
CH0024608827,PARTNERS GR ,2020,2021-03-16,4350,False
CH0024608827,PARTNERS GR ,2021,2022-03-22,4350,False
CH0024608827,PARTNERS GR ,2022,2023-03-21,4350,False
CH0024608827,PARTNERS GR ,2023,2024-03-19,4350,False
CH0024638196,SCHINDLER HOLDING AG ,2019,2020-02-14,4970,True
CH0024638196,SCHINDLER HOLDING AG ,2020,2021-02-17,4970,True
CH0024638196,SCHINDLER HOLDING AG ,2021,2022-02-16,4970,True
CH0024638196,SCHINDLER HOLDING AG ,2022,2023-02-22,4970,True
CH0024638196,SCHINDLER HOLDING AG ,2023,2024-02-14,4970,True
CH0024638212,SCHINDLER HOLDING AG ,2019,2020-02-14,4970,True
CH0024638212,SCHINDLER HOLDING AG ,2020,2021-02-17,4970,True
CH0024638212,SCHINDLER HOLDING AG ,2021,2022-02-16,4970,True
CH0024638212,SCHINDLER HOLDING AG ,2022,2023-02-22,4970,True
CH0024638212,SCHINDLER HOLDING AG ,2023,2024-02-14,4970,True
CH0025238863,KUEHNE UND NAG ,2019,2020-02-27,7970,False
CH0025238863,KUEHNE UND NAG ,2020,2021-03-03,7970,False
CH0025238863,KUEHNE UND NAG ,2021,2022-03-02,7970,False
CH0025238863,KUEHNE UND NAG ,2022,2023-03-01,7970,False
CH0025238863,KUEHNE UND NAG ,2023,2024-03-01,7970,False
CH0025343259,COLTENE HOLDING ,2019,2020-03-05,3440,True
CH0025343259,COLTENE HOLDING ,2020,2021-01-28,3440,True
CH0025343259,COLTENE HOLDING ,2021,2022-01-28,3440,True
CH0025343259,COLTENE HOLDING ,2022,2023-03-03,3440,True
CH0025343259,COLTENE HOLDING ,2023,2024-03-08,3440,True
CH0028422100,BELLEVUE GROUP AG ,2019,2020-01-28,4395,False
CH0028422100,BELLEVUE GROUP AG ,2020,2021-03-02,4395,False
CH0028422100,BELLEVUE GROUP AG ,2021,2022-03-01,4395,False
CH0028422100,BELLEVUE GROUP AG ,2022,2023-02-28,4395,False
CH0028422100,BELLEVUE GROUP AG ,2023,2024-02-27,4395,False
CH0029850754,ADDEX THERAPEUTICS ,2019,2020-04-08,3430,True
CH0029850754,ADDEX THERAPEUTICS ,2020,2021-03-11,3430,True
CH0029850754,ADDEX THERAPEUTICS ,2021,2022-03-10,3430,True
CH0029850754,ADDEX THERAPEUTICS ,2022,2023-03-30,3430,True
CH0029850754,ADDEX THERAPEUTICS ,2023,2024-04-18,3430,True
CH0030170408,GEBERIT AG ,2019,2020-01-21,2891,False
CH0030170408,GEBERIT AG ,2020,2021-03-10,2891,False
CH0030170408,GEBERIT AG ,2021,2022-01-14,2891,False
CH0030170408,GEBERIT AG ,2022,2023-01-19,2891,False
CH0030170408,GEBERIT AG ,2023,2024-01-17,2891,False
CH0030380734,HUBER+SUHNER AG ,2019,2020-04-15,5560,False
CH0030380734,HUBER+SUHNER AG ,2020,2021-03-19,5560,False
CH0030380734,HUBER+SUHNER AG ,2021,2022-03-08,5560,False
CH0030380734,HUBER+SUHNER AG ,2022,2023-03-07,5560,False
CH0030380734,HUBER+SUHNER AG ,2023,2024-03-05,5560,False
CH0030486770,DAETWYLER HOLDING AG ,2019,2020-02-06,3110,True
CH0030486770,DAETWYLER HOLDING AG ,2020,2021-02-09,3110,True
CH0030486770,DAETWYLER HOLDING AG ,2021,2022-02-18,3110,True
CH0030486770,DAETWYLER HOLDING AG ,2022,2023-02-09,3110,True
CH0030486770,DAETWYLER HOLDING AG ,2023,2024-02-07,3110,True
CH0032816131,SF URBAN PROP ,2019,2020-06-02,4380,True
CH0032816131,SF URBAN PROP ,2020,2021-03-08,4380,True
CH0032816131,SF URBAN PROP ,2021,2022-04-13,4380,True
CH0032816131,SF URBAN PROP ,2022,2023-04-13,4380,True
CH0032816131,SF URBAN PROP ,2023,2024-03-14,4380,True
CH0033361673,LOX HOLDING AG ,2019,2020-04-15,8592,True
CH0033361673,LOX HOLDING AG ,2020,2021-03-12,8592,True
CH0033361673,LOX HOLDING AG ,2021,2022-03-10,8592,True
CH0033361673,LOX HOLDING AG ,2022,2023-03-10,8592,True
CH0033361673,LOX HOLDING AG ,2023,2024-03-06,8592,True
CH0038285679,ORASCOM DEVELOPMENT ,2019,2020-04-27,3110,True
CH0038285679,ORASCOM DEVELOPMENT ,2020,2021-03-31,3110,True
CH0038285679,ORASCOM DEVELOPMENT ,2021,2022-03-30,3110,True
CH0038285679,ORASCOM DEVELOPMENT ,2022,2023-03-29,3110,True
CH0038285679,ORASCOM DEVELOPMENT ,2023,2024-03-26,3110,True
CH0038388911,SULZER AG ,2019,2020-02-19,4910,False
CH0038388911,SULZER AG ,2020,2021-02-24,4910,False
CH0038388911,SULZER AG ,2021,2022-02-18,4910,False
CH0038388911,SULZER AG ,2022,2023-02-20,4910,False
CH0038388911,SULZER AG ,2023,2024-02-22,4910,False
CH0038389992,BB BIOTECH AG ,2019,2020-01-17,4350,False
CH0038389992,BB BIOTECH AG ,2020,2021-01-22,4350,False
CH0038389992,BB BIOTECH AG ,2021,2022-02-18,4350,False
CH0038389992,BB BIOTECH AG ,2022,2023-02-17,4350,False
CH0038389992,BB BIOTECH AG ,2023,2024-01-19,4350,False
CH0038863350,NESTLE SA ,2019,2020-02-13,4610,False
CH0038863350,NESTLE SA ,2020,2021-02-18,4610,False
CH0038863350,NESTLE SA ,2021,2022-02-17,4610,False
CH0038863350,NESTLE SA ,2022,2023-02-16,4610,False
CH0038863350,NESTLE SA ,2023,2024-02-22,4610,False
CH0039821084,METALL ZUG AG ,2019,2020-03-19,3720,False
CH0039821084,METALL ZUG AG ,2020,2021-03-18,3720,False
CH0039821084,METALL ZUG AG ,2021,2022-03-15,3720,False
CH0039821084,METALL ZUG AG ,2022,2023-03-13,3720,False
CH0039821084,METALL ZUG AG ,2023,2024-03-11,3720,False
CH0042615283,DOCMORRIS AG ,2019,2020-03-19,7040,False
CH0042615283,DOCMORRIS AG ,2020,2021-01-21,7040,False
CH0042615283,DOCMORRIS AG ,2021,2022-01-20,7040,False
CH0042615283,DOCMORRIS AG ,2022,2023-01-19,7040,False
CH0042615283,DOCMORRIS AG ,2023,2024-01-16,7040,False
CH0045825517,FUNDAMENTA REAL ,2019,2020-03-13,4392,True
