EventFirm_ISIN,EventFirm_Name,EventDate,PeerFirm_ISIN,PeerFirm_Name,Peer_EventDate,Year,RBICS_PrimaryCode_shared,EventFirm_CAR_shortterm_ownEvent,Peer_CAR_shortterm_ownEvent,Peer_CAR_shortterm_relative_to_EventFirmEvent,SameInputRisk_Proxy,Notes
CH1256740924,SGS SA ,2021-01-28,CH0126673539,DKSH HOLDING AG ,2021-02-09,2020,8580,"-0,00580528944568754","-0,043788002838597",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2021-01-28,CH0319416936,FLUGHAFEN ZURICH AG ,2021-03-12,2020,8580,"-0,00580528944568754","-0,0182472726390234",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2021-01-28,CH0404880129,ASMALLWORLD AG ,2021-03-18,2020,8580,"-0,00580528944568754","0,00405693236391877",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
AT0000KTMI02,PIERER MOBILITY AG ,2022-03-29,CH0012138605,ADECCO GROUP ,2022-02-24,2021,8580,"0,0179358963825775","-0,0948526263792754",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
AT0000KTMI02,PIERER MOBILITY AG ,2022-03-29,CH0126673539,DKSH HOLDING AG ,2022-02-09,2021,8580,"0,0179358963825775","0,0419892594690226",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
AT0000KTMI02,PIERER MOBILITY AG ,2022-03-29,CH0319416936,FLUGHAFEN ZURICH AG ,2022-03-08,2021,8580,"0,0179358963825775","0,0629304538172531",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
AT0000KTMI02,PIERER MOBILITY AG ,2022-03-29,CH0404880129,ASMALLWORLD AG ,2022-03-16,2021,8580,"0,0179358963825775","0,0867048260503611",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
AT0000KTMI02,PIERER MOBILITY AG ,2022-03-29,CH1256740924,SGS SA ,2022-01-27,2021,8580,"0,0179358963825775","0,00827157548325134",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0012138605,ADECCO GROUP ,2022-02-24,AT0000KTMI02,PIERER MOBILITY AG ,2022-03-29,2021,8580,"-0,0948526263792754","0,0179358963825775",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0012138605,ADECCO GROUP ,2022-02-24,CH0126673539,DKSH HOLDING AG ,2022-02-09,2021,8580,"-0,0948526263792754","0,0419892594690226",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0012138605,ADECCO GROUP ,2022-02-24,CH0319416936,FLUGHAFEN ZURICH AG ,2022-03-08,2021,8580,"-0,0948526263792754","0,0629304538172531",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0012138605,ADECCO GROUP ,2022-02-24,CH0404880129,ASMALLWORLD AG ,2022-03-16,2021,8580,"-0,0948526263792754","0,0867048260503611",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0012138605,ADECCO GROUP ,2022-02-24,CH1256740924,SGS SA ,2022-01-27,2021,8580,"-0,0948526263792754","0,00827157548325134",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0126673539,DKSH HOLDING AG ,2022-02-09,AT0000KTMI02,PIERER MOBILITY AG ,2022-03-29,2021,8580,"0,0419892594690226","0,0179358963825775",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0126673539,DKSH HOLDING AG ,2022-02-09,CH0012138605,ADECCO GROUP ,2022-02-24,2021,8580,"0,0419892594690226","-0,0948526263792754",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0126673539,DKSH HOLDING AG ,2022-02-09,CH0319416936,FLUGHAFEN ZURICH AG ,2022-03-08,2021,8580,"0,0419892594690226","0,0629304538172531",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0126673539,DKSH HOLDING AG ,2022-02-09,CH0404880129,ASMALLWORLD AG ,2022-03-16,2021,8580,"0,0419892594690226","0,0867048260503611",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0126673539,DKSH HOLDING AG ,2022-02-09,CH1256740924,SGS SA ,2022-01-27,2021,8580,"0,0419892594690226","0,00827157548325134",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0319416936,FLUGHAFEN ZURICH AG ,2022-03-08,AT0000KTMI02,PIERER MOBILITY AG ,2022-03-29,2021,8580,"0,0629304538172531","0,0179358963825775",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0319416936,FLUGHAFEN ZURICH AG ,2022-03-08,CH0012138605,ADECCO GROUP ,2022-02-24,2021,8580,"0,0629304538172531","-0,0948526263792754",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0319416936,FLUGHAFEN ZURICH AG ,2022-03-08,CH0126673539,DKSH HOLDING AG ,2022-02-09,2021,8580,"0,0629304538172531","0,0419892594690226",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0319416936,FLUGHAFEN ZURICH AG ,2022-03-08,CH0404880129,ASMALLWORLD AG ,2022-03-16,2021,8580,"0,0629304538172531","0,0867048260503611",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0319416936,FLUGHAFEN ZURICH AG ,2022-03-08,CH1256740924,SGS SA ,2022-01-27,2021,8580,"0,0629304538172531","0,00827157548325134",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0404880129,ASMALLWORLD AG ,2022-03-16,AT0000KTMI02,PIERER MOBILITY AG ,2022-03-29,2021,8580,"0,0867048260503611","0,0179358963825775",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0404880129,ASMALLWORLD AG ,2022-03-16,CH0012138605,ADECCO GROUP ,2022-02-24,2021,8580,"0,0867048260503611","-0,0948526263792754",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0404880129,ASMALLWORLD AG ,2022-03-16,CH0126673539,DKSH HOLDING AG ,2022-02-09,2021,8580,"0,0867048260503611","0,0419892594690226",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0404880129,ASMALLWORLD AG ,2022-03-16,CH0319416936,FLUGHAFEN ZURICH AG ,2022-03-08,2021,8580,"0,0867048260503611","0,0629304538172531",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH0404880129,ASMALLWORLD AG ,2022-03-16,CH1256740924,SGS SA ,2022-01-27,2021,8580,"0,0867048260503611","0,00827157548325134",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2022-01-27,AT0000KTMI02,PIERER MOBILITY AG ,2022-03-29,2021,8580,"0,00827157548325134","0,0179358963825775",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2022-01-27,CH0012138605,ADECCO GROUP ,2022-02-24,2021,8580,"0,00827157548325134","-0,0948526263792754",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2022-01-27,CH0126673539,DKSH HOLDING AG ,2022-02-09,2021,8580,"0,00827157548325134","0,0419892594690226",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2022-01-27,CH0319416936,FLUGHAFEN ZURICH AG ,2022-03-08,2021,8580,"0,00827157548325134","0,0629304538172531",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
CH1256740924,SGS SA ,2022-01-27,CH0404880129,ASMALLWORLD AG ,2022-03-16,2021,8580,"0,00827157548325134","0,0867048260503611",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
AT0000KTMI02,PIERER MOBILITY AG ,2023-03-28,CH0012138605,ADECCO GROUP ,2023-02-28,2022,8580,"-0,0228132045673742","0,0277172254385186",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
AT0000KTMI02,PIERER MOBILITY AG ,2023-03-28,CH0126673539,DKSH HOLDING AG ,2023-02-09,2022,8580,"-0,0228132045673742","-0,00997582522625244",,True,Peer_CAR relative to EventFirm's event date not computable from provided files.
