"";"ISIN";"Reportdate";"Name";"Group";"Year";"Actual";"Estimate";"Mean";"Surprise";"SurpriseSD";"SurprisePercent";"SurpriseCategory";"CAPM_a";"CAPM_a_sd";"CAPM_a_p";"CAPM_beta";"CAPM_beta_sd";"CAPM_beta_p";"CAPM_BPtest_p";"CAPM_robust_a";"CAPM_robust_a_sd";"CAPM_robust_beta";"CAPM_robust_beta_sd";"CAR_shortterm";"CAR_middleterm";"BHAR_shortterm";"BHAR_middleterm"
"BP604";"CH0432492467";2021-02-23;"ALCON AG ";3440;2020;1,0125648;9;0,985517636;0,027047164;0,07663363;0,03;"Neutral";-0,000193967693206126;0,00114425615924921;0,865548663640507;1,38410938678453;0,0853692477680636;2,28659087507311e-39;0,0813136150600892;-0,000770251085914436;0,000978281765784536;1,41145428738136;0,0729864355766599;0,00198249647458533;-0,0283194680447196;0,00207450078148763;-0,0294516685598134
"BP605";"CH0432492467";2022-02-15;"ALCON AG ";3440;2021;2,093283;10;2,047912308;0,045370692;0,021244388;0,02;"Neutral";0,000179552149271017;0,000911187629204916;0,843968911783429;1,04299609688736;0,144939007607622;9,74799595883604e-12;0,268513140392846;6,77412493819895e-06;0,000578633540833114;1,05730611033288;0,092040945781953;0,00813445223402481;0,0275149516104616;0,00715869342221109;0,0259599699997544
"BP606";"CH0432492467";2023-02-27;"ALCON AG ";3440;2022;2,1809088;15;2,205570595;-0,024661795;0,075874207;-0,01;"Neutral";0,000203020064156522;0,000949863084128147;0,830951685885137;1,16331281594027;0,100153094304114;1,29279910970909e-24;0,981103438204926;-0,000159600146574953;0,00075346730537618;1,17602934064052;0,0794452204231853;-0,047217120371563;-0,0333639168082293;-0,0466290864563635;-0,0357410461762502
"BP607";"CH0432492467";2024-02-27;"ALCON AG ";3440;2023;2,6677188;27;2,661477896;0,006240904;0,085863548;NA;"Positive";0,000515940459003753;0,000780987892254946;0,509546854422752;1,02652262657631;0,124974292652029;1,85311187175215e-14;0,346638226338679;0,000442544773391852;0,000593450309698893;1,09298571947079;0,0949643821808905;0,0794527581808746;0,0391070686171754;0,0810496114284092;0,0388018535509758
"BP608";"CH0435377954";2020-02-25;"SIG GROUP AG ";4910;2019;0,68;12;0,67642;0,00358;0,0216;0,01;"Neutral";0,00135389969574528;0,000795456063230224;0,090166510589721;0,601467789603385;0,12866923163793;5,1479433386174e-06;0,778119012269977;0,00117809668001375;0,000801245643127029;0,602329814022229;0,129605726852767;0,0184844091751685;0,102881380412367;0,0151198238289545;0,0836917223475429
"BP609";"CH0435377954";2021-02-23;"SIG GROUP AG ";4910;2020;0,73;13;0,69826;0,03174;0,03247;0,05;"Neutral";0,0014365876497273;0,00125256368261758;0,252667063164789;0,81786018039288;0,0934497214651825;5,7052253724417e-16;0,000457313156268589;0,00221793925094846;0,000997914735432873;0,77747004727537;0,074451187884772;-0,0912343070954817;-0,00129790066522992;-0,092217646000097;-0,00514305980484586
"BP610";"CH0435377954";2022-03-01;"SIG GROUP AG ";4910;2021;0,75;13;0,77036;-0,02036;0,03399;-0,03;"Neutral";-3,65660520801383e-05;0,000937664854509521;0,968928361095891;1,05159416104306;0,147925243188784;1,63101578391724e-11;0,434470737149978;0,000352203016158216;0,000832425215539635;1,06633621491479;0,131322723522135;0,051601691030167;-0,0124842404853449;0,0503750138218638;-0,0180294692660437
"BP611";"CH0435377954";2023-02-28;"SIG GROUP AG ";4910;2022;0,79;12;0,77824;0,01176;0,06818;0,02;"Neutral";0,000451086236362845;0,00109949090664874;0,682010241091493;1,1501800580389;0,116466863614528;2,92510079411575e-19;0,911710912123649;0,00063880416318811;0,000927864518639805;1,17843087031207;0,0982868250130116;0,0803967673893568;0,035678962378758;0,0820126451406957;0,0359533170704605
"BP612";"CH0435377954";2024-02-27;"SIG GROUP AG ";4910;2023;0,83;13;0,81555;0,01445;0,09006;0,02;"Neutral";-0,00080788479810187;0,000815311786453839;0,322832531112769;0,94155284572125;0,13046682901669;8,62175730810476e-12;0,479151759968684;-0,000476452083071019;0,000708540633795619;0,969682436113667;0,11338122575519;0,0121784677503534;0,119905944824707;0,0105693501572401;0,123271594641411
"BP613";"CH0461929603";2023-04-20;"XLIFE SCIENCES AG ";8550;2022;2,128363756;NA;NA;NA;NA;NA;NA;-0,000549905458906758;0,00252433889398448;0,827755542831212;-0,212755344233023;0,277382401977808;0,44390106817707;0,3429341742988;-0,00417257376684423;0,00173587976443712;-0,320962934089906;0,190744000241672;0,0498968845532096;0,390265468086999;0,049667165235075;0,397795709964939
